Date,Dividends
2005-04-07 10:00:00+03:00,0.11025
2006-04-11 10:00:00+03:00,0.19845
2007-04-12 10:00:00+03:00,0.2205
2008-04-10 10:00:00+03:00,0.2205
2009-04-23 10:00:00+03:00,0.16317001
2010-04-14 10:00:00+03:00,0.1764
2011-04-14 10:00:00+03:00,0.19845
2012-05-04 10:00:00+03:00,0.2205
2013-04-10 10:00:00+03:00,0.24255002
2014-04-14 10:00:00+03:00,0.2646
2015-04-15 10:00:00+03:00,0.29988003
2016-04-14 10:00:00+03:00,0.32634002
2017-03-30 10:00:00+03:00,0.0882
2018-03-29 10:00:00+03:00,0.0882
2019-03-28 10:00:00+02:00,0.0882
2020-04-01 10:00:00+03:00,0.06615
2020-10-01 10:00:00+03:00,0.06615
2021-03-31 10:00:00+03:00,0.0882
2021-09-30 10:00:00+03:00,0.0882
2022-03-30 10:00:00+03:00,0.11025
2022-09-29 10:00:00+03:00,0.11025
2023-03-30 10:00:00+03:00,0.11907001
2023-09-28 10:00:00+03:00,0.11907001
2024-04-04 10:00:00+03:00,0.11907001
2024-10-01 10:00:00+03:00,0.11907001
2025-03-26 10:00:00+02:00,0.126126
2025-09-26 10:00:00+03:00,0.125244
2026-04-01 10:00:00+03:00,0.1323
