Date,Dividends
2002-03-25 10:00:00+02:00,0.1625
2003-03-21 10:00:00+02:00,0.1625
2004-03-17 10:00:00+02:00,0.5
2004-11-25 10:00:00+02:00,0.5
2005-03-16 10:00:00+02:00,0.1
2006-03-16 10:00:00+02:00,0.4
2007-04-13 10:00:00+03:00,0.4
2008-04-30 10:00:00+03:00,0.5
2009-11-17 10:00:00+02:00,0.1
2010-04-01 10:00:00+03:00,0.15
2011-04-13 10:00:00+03:00,0.35
2012-04-18 10:00:00+03:00,0.35
2013-04-17 10:00:00+03:00,0.25
2014-04-16 10:00:00+03:00,0.3
2015-04-15 10:00:00+03:00,0.45
2016-04-13 10:00:00+03:00,0.55
2017-04-12 10:00:00+03:00,0.6
2018-04-10 10:00:00+03:00,0.75
2019-04-04 10:00:00+03:00,0.8
2020-05-28 10:00:00+03:00,0.3
2021-04-08 10:00:00+03:00,0.6
2022-04-08 10:00:00+03:00,0.6
2023-04-13 10:00:00+03:00,0.6
2024-04-10 10:00:00+03:00,0.55
2025-04-09 10:00:00+03:00,0.5
2026-04-09 10:00:00+03:00,0.55
