Date,Dividends
2002-03-04 10:00:00+02:00,0.1
2003-03-03 10:00:00+02:00,0.156667
2004-03-01 10:00:00+02:00,0.25
2005-03-07 10:00:00+02:00,0.216667
2006-03-06 10:00:00+02:00,0.4
2007-03-05 10:00:00+02:00,0.5
2008-03-03 10:00:00+02:00,0.5
2009-03-23 10:00:00+02:00,0.18
2011-03-07 10:00:00+02:00,0.3
2012-03-02 10:00:00+02:00,0.25
2013-03-01 10:00:00+02:00,0.03
2014-02-28 10:00:00+02:00,0.1
2015-02-27 10:00:00+02:00,0.05
2017-03-10 10:00:00+02:00,0.1
2018-03-09 10:00:00+02:00,0.1
2019-03-08 10:00:00+02:00,0.15
2020-03-06 10:00:00+02:00,0.15
2021-03-10 10:00:00+02:00,0.1
2022-03-09 10:00:00+02:00,0.2
2024-04-03 10:00:00+03:00,0.1
