Date,Dividends
2000-03-24 10:00:00+02:00,0.055556
2001-03-21 10:00:00+02:00,0.294444
2002-03-13 10:00:00+02:00,0.444444
2003-03-13 10:00:00+02:00,0.194444
2004-03-16 10:00:00+02:00,0.083333
2004-12-02 10:00:00+02:00,0.111111
2005-03-22 10:00:00+02:00,0.15
2006-03-16 10:00:00+02:00,0.25
2006-11-27 10:00:00+02:00,0.25
2007-03-15 10:00:00+02:00,0.291667
2008-03-20 10:00:00+02:00,0.708333
2009-03-12 10:00:00+02:00,0.25
2010-03-05 10:00:00+02:00,0.291667
2011-03-04 10:00:00+02:00,0.458333
2012-03-09 10:00:00+02:00,0.3
2013-03-08 10:00:00+02:00,0.333333
2014-03-07 10:00:00+02:00,0.35
2015-03-06 10:00:00+02:00,0.383333
2016-03-04 10:00:00+02:00,0.4
2017-03-03 10:00:00+02:00,0.216667
2017-09-13 10:00:00+03:00,0.216667
2018-03-09 10:00:00+02:00,0.23
2018-09-19 10:00:00+03:00,0.23
2019-03-08 10:00:00+02:00,0.24
2019-09-19 10:00:00+03:00,0.24
2020-03-06 10:00:00+02:00,0.24
2020-09-09 10:00:00+03:00,0.24
2021-03-05 10:00:00+02:00,0.1
2021-09-10 10:00:00+03:00,0.1
2022-03-04 10:00:00+02:00,0.12
2022-09-28 10:00:00+03:00,0.12
2023-03-10 10:00:00+02:00,0.13
2023-09-12 10:00:00+03:00,0.13
2024-03-08 10:00:00+02:00,0.16
2024-09-10 10:00:00+03:00,0.16
2025-03-14 10:00:00+02:00,0.22
2025-09-16 10:00:00+03:00,0.22
2026-03-13 10:00:00+02:00,0.79
2026-09-15 10:00:00+03:00,0.27
